month_th,month,year_be,year,date,date_be,index,ข้าวเปลือกหอมมะลิ(บาท/เมตริกตัน),ข้าวเปลือกเจ้าความชื้น15pc(บาท/เมตริกตัน),ข้าวเปลือกหนียวเมล็ดยาว(บาท/เมตริกตัน),ข้าวเปลือกเหนียวเมล็ดสั้น(บาท/เมตริกตัน),หัวมันสำปะหลัง(บาท/กิโลกรัม),มันเส้น(บาท/กิโลกรัม),อ้อยโรงงาน(บาท/เมตริกตัน),ข้าวโพดเลี้ยงสัตว์(บาท/กิโลกรัม),ยางพารา(บาท/กิโลกรัม)
ธ.ค.,12,2564,2021,1/12/21,1/12/21,276,9952,7949,8257,7044,2.27,6.03,1054,9.29,53
พ.ย.,11,2564,2021,1/11/21,1/11/21,275,9371,7968,7419,6444,2.21,6.22,,8.96,52
ต.ค.,10,2564,2021,1/10/21,1/10/21,274,9723,8172,8168,7047,2.12,6.22,,8.26,49
ก.ย.,9,2564,2021,1/9/21,1/9/21,273,9810,7840,9259,7262,2.17,6.16,,7.98,48
ส.ค.,8,2564,2021,1/8/21,1/8/21,272,9902,7737,8993,7896,2.05,6.36,,8.54,49
ก.ค.,7,2564,2021,1/7/21,1/7/21,271,10320,7690,9493,8164,2,6.1,,8.51,50
มิ.ย.,6,2564,2021,1/6/21,1/6/21,270,10797,7747,10072,8791,1.97,5.68,,7.93,58
พ.ค.,5,2564,2021,1/5/21,1/5/21,269,11432,7870,10289,9332,1.96,5.29,,7.53,60
เม.ย.,4,2564,2021,1/4/21,1/4/21,268,11835,8038,10722,9689,2.05,5.43,,7.78,57
มี.ค.,3,2564,2021,1/3/21,1/3/21,267,11823,8054,10645,9620,2.01,5.56,1081,8.05,60
ก.พ.,2,2564,2021,1/2/21,1/2/21,266,11862,8114,10751,9615,1.97,5.34,1074,8.24,53
ม.ค.,1,2564,2021,1/1/21,1/1/21,265,11812,8105,10591,9612,1.94,5.6,1006,8.33,55
ธ.ค.,12,2563,2020,1/12/20,1/12/20,264,11185,8054,10119,9485,1.91,5.58,850,8.07,59
พ.ย.,11,2563,2020,1/11/20,1/11/20,263,10403,7946,9757,9336,1.78,5.6,,7.69,59
ต.ค.,10,2563,2020,1/10/20,1/10/20,262,11715,7974,11123,10043,1.75,5.7,,7.52,55
ก.ย.,9,2563,2020,1/9/20,1/9/20,261,13237,8042,13742,11830,1.76,6.27,,8.35,45
ส.ค.,8,2563,2020,1/8/20,1/8/20,260,14409,8079,15227,13966,1.78,5.78,,8.1,41
ก.ค.,7,2563,2020,1/7/20,1/7/20,259,14630,8189,15476,14329,1.69,5.63,,7.66,38
มิ.ย.,6,2563,2020,1/6/20,1/6/20,258,14868,8363,15500,14274,1.67,5.87,,7.83,36
พ.ค.,5,2563,2020,1/5/20,1/5/20,257,14871,8372,15621,14046,1.69,5.11,,7.73,35
เม.ย.,4,2563,2020,1/4/20,1/4/20,256,14471,8257,15268,13915,1.69,4.81,747,7.19,35
มี.ค.,3,2563,2020,1/3/20,1/3/20,255,13949,8142,14812,13677,1.87,5.07,771,7.47,38
ก.พ.,2,2563,2020,1/2/20,1/2/20,254,13913,8047,14732,14031,1.9,4.91,748,7.96,39
ม.ค.,1,2563,2020,1/1/20,1/1/20,253,13756,7893,14219,13637,1.96,4.82,690,8.19,39
ธ.ค.,12,2562,2019,1/12/19,1/12/19,252,13529,7897,13623,12890,1.98,5.02,637,8.09,39
พ.ย.,11,2562,2019,1/11/19,1/11/19,251,14509,8225,13766,13408,1.87,5.08,,8.13,37
ต.ค.,10,2562,2019,1/10/19,1/10/19,250,16017,8470,15278,13716,1.7,4.98,,8.05,36
ก.ย.,9,2562,2019,1/9/19,1/9/19,249,16265,8418,16736,14603,1.61,4.74,,8.04,37
ส.ค.,8,2562,2019,1/8/19,1/8/19,248,15981,8564,13952,13055,1.75,4.82,,8.06,40
ก.ค.,7,2562,2019,1/7/19,1/7/19,247,15508,8481,12217,11256,1.69,5.05,,7.9,45
มิ.ย.,6,2562,2019,1/6/19,1/6/19,246,15770,8419,12044,10916,1.65,5.15,750,7.77,43
พ.ค.,5,2562,2019,1/5/19,1/5/19,245,15725,8366,11414,10339,1.85,4.96,712,6.06,42
